title,description,country,sectors,link,finance
ecolyze,"Ecolyze gives you a state of the art experience, putting customers at the heart of the climate change fight. Ecolyze enables you to drive your footprint reduction action in an easy manner.",Hungary [Budapest] Netherlands Germany,"Climate Change / Other Digital, including Content and Services",https://ec.europa.eu/eipp/desktop/en/projects/project-12264.html,2% financed
Runlimit,We make instant personal fit for any helmet and optionally make 3D head scanning with phone for virtual helmet try-on and custom made helmets,Italy [Lombardia] Italy,"Other Digital, including Content and Services / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12261.html,25% financed
CitySensorPass,Qualification levels of smart city sensors in relation to their level of vendor lock-in,Netherlands [Zuid-Holland],"Other Digital, including Content and Services / Social Infrastructure, Social and Solidarity Economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12259.html,5% financed
Multilingual Financial Terminology Database,Multilingual Financial Terminology Database (currently 8 languages & 5 language variants. Looking for investment to scale up to 20+ languages,Ireland [Mid-West],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12257.html,50% financed
3D Bonding: Transforms the footwear business,The 3D Bonding technology replaces the traditional stitched seams by constructing a product as a three-dimensional puzzle in which all the pieces are joined by their edges by chemical bonding.,Spain [Comunidad Valenciana] Germany [BAYERN],"Industry for SMEs & Mid-Caps / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12255.html,0% financed
Innovative Aeronautical Propulsor - Full Electric,Innovative aeronautical propulsor powered only and exclusively by electricity supplied by hydrogen fuel cells installed on board aircraft and able to equip any size and type of aircraft.,Italy [Campania] Italy,New Technologies and Transport Greening / Climate Change,https://ec.europa.eu/eipp/desktop/en/projects/project-12249.html,0% financed
New Disruptive efficacious Treatment for PTSD,"Post Traumatic Stress Disorder is a serious and widespread condition which has no current treatment.DisruPep is developing a novel, safe and efficacious treatment for PTSD which is a $2B market.",Spain [Comunidad de Madrid],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12243.html,1% financed
YouHonor,YouHonor is the social network that makes it possible for users to make personal and group commitments in an innovative manner and to follow other users in their commitments.,France [Hauts-de-France],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12239.html,1% financed
LEGID_,LEGID is a platform that brings quality legal services at affordable prices to people across the world.,Estonia [Põhja-Eesti] Lithuania [Vilniaus apskritis] Latvia [Rīga],"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12238.html,15% financed
Contact,"Logica Informatica srl is an innovative telecommunications operator that became operational in Sardinia in 2015, born with the aim and potential of truly breaking down the digital divide.",Italy [Sardegna],"ICT Infrastructures, including Broadband / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12237.html,0% financed
U-earth bio-reactors,"Revolutionary bio-technology that captures and destroys any contaminant (pollutant, allergen, virus,) through a natural process of bio oxidation that uses good bacteria to ""digest"" the contaminant",Italy [Lombardia],Climate Change / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12236.html,5% financed
CanSense - Transforming Cancer Diagnosis,"CanSense is developing an accurate, fast, non-invasive diagnostic for the early detection of Cancer using Spectroscopy and AI-based technologies on a simple blood sample.",United Kingdom [West Wales and The Valleys] United Kingdom [Hampshire and Isle of Wight],Health / Industry for SMEs & Mid-Caps,https://ec.europa.eu/eipp/desktop/en/projects/project-12235.html,0% financed
"Nanonap, Deep Tech for Deep Sleep",Our mission is to optimize sleep to boost immunity and therefore help post-covid recovery! Our deep tech headband optimizes the deep sleep thanks to electrical stimulations.,France [Île de France] Germany [BADEN-WÜRTTEMBERG] United Kingdom [Inner London],"Health / Research, Development & Innovation",https://ec.europa.eu/eipp/desktop/en/projects/project-12232.html,8% financed
Wood of Value,Mindful use of wood for efficient use of local wood through the development of local processing technologies and promoting energy-efficient buildings.,Italy [Lombardia] France Germany,"Agriculture and rural development, forestry and bio-economy / Resource Efficiency and Environmental Protection, including Blue Economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12231.html,0% financed
Sustainable rural accommodation,"Upgrading of an area of 40 ha containing 20 ruined buildings destroyed by years of neglect. As well as restoring the abandoned area, upgrading will involve accommodation in rural mountain areas.",Italy [Lombardia] Finland Austria,"Agriculture and rural development, forestry and bio-economy / Resource Efficiency and Environmental Protection, including Blue Economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12230.html,0% financed
Slicy,"Slicy provides an employee benefits, rewards and gifts app to effortlessly personalize compensation packages, using AI technology for profiling.",Romania [Bucureşti - Ilfov] Poland Italy,"Human Capital, Education & Training / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12224.html,10% financed
Ocean Retriever,"The Ocean Retriever ship is a specialize factory ship that tours every port to each Canary Island collecting large bales of unrecyclable plastics, to process into clean hydrogen for island mobility.",Spain [Canarias] Greece [Extra-Regio NUTS 2] Croatia [Croatia Extra-Regio],"Renewable Energy Production / Resource Efficiency and Environmental Protection, including Blue Economy",https://ec.europa.eu/eipp/desktop/en/projects/project-12223.html,0% financed
Home Best Pal,Online E-service Platform,Romania [Nord-Est] Romania,"Other Digital, including Content and Services / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12218.html,20% financed
SILK BIO REFINERY,"Silk Bio Refinery – A revolutionary transformation in the Textile Industry against the negative economic consequences of COVID-19, based on renewable resources.",Bulgaria [Монтана (Montana)],"Agriculture and rural development, forestry and bio-economy / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12212.html,12% financed
Ocean Shapers Platform Development,"Ocean Shapers develops a platform for mobile gaming, sustainable shopping, and contributing to environment protection via gamifying the activity of ocean plastic collection and visualizing the impact.",Hungary [Budapest] Netherlands [Noord-Holland] France [Île de France],"Resource Efficiency and Environmental Protection, including Blue Economy / Industry for SMEs & Mid-Caps",https://ec.europa.eu/eipp/desktop/en/projects/project-12211.html,5% financed
